광고오라이등심,갈비,4.0,39건,11,서울 종로구 종로32길 23-5
광고인기명 이수점,"해물,생선",4.5,8건,42,서울 서초구 방배천로 92 109~112호
광고정원레스토랑 어반가든,이탈리안,3.9,175건,329,서울 중구 정동길 12-15
카페노티드 서래,카페,3.0,35건,341,서울 서초구 방배로32길 30-9 1층
카페노티드 안국,카페,3.0,85건,631,서울 종로구 북촌로 6-3 1층
블루보틀 삼청한옥,카페,3.1,116건,898,서울 종로구 삼청로2길 40-3
카페노티드 청담,디저트카페,3.5,164건,"1,346",서울 강남구 도산대로53길 15 1층
블루보틀 성수,카페,3.0,135건,975,서울 성동구 아차산로 7
팀호완 삼성점,중화요리,3.4,99건,474,서울 강남구 봉은사로86길 30 1층
제스티살룬,햄버거,4.1,130건,635,서울 성동구 서울숲2길 19 2층
몽탄,갈비,3.6,139건,"1,068",서울 용산구 백범로99길 50
소금집델리 안국,양식,3.5,87건,434,서울 종로구 북촌로4길 19 1층
할아버지공장,디저트카페,3.2,87건,574,서울 성동구 성수이로7가길 9
금돼지식당,"육류,고기",3.8,164건,612,서울 중구 다산로 149
구구당,퓨전요리,4.0,107건,670,서울 강남구 강남대로102길 35
다운타우너 잠실,햄버거,3.9,136건,822,서울 송파구 백제고분로45길 3 1층
다운타우너 안국,햄버거,4.1,108건,719,서울 종로구 북촌로 6-4 1층
블루보틀 역삼,카페,3.2,54건,165,서울 강남구 테헤란로 129 강남N타워 1층
꽁티드툴레아 도산점,테마카페,2.7,36건,491,서울 강남구 도산대로49길 39 1층
어글리베이커리,"제과,베이커리",3.1,135건,520,서울 마포구 월드컵로13길 73
소금집델리 망원,양식,3.9,186건,610,서울 마포구 월드컵로19길 14 2층
리틀넥 청담,양식,3.8,88건,880,서울 강남구 도산대로51길 17 1층
쉐이크쉑 강남점,햄버거,3.5,374건,723,서울 강남구 강남대로 452 대연빌딩 1층
만동제과,"제과,베이커리",4.2,123건,539,서울 서대문구 연희로 32
정원레스토랑 어반가든,이탈리안,3.9,175건,329,서울 중구 정동길 12-15
카츠바이콘반,"돈까스,우동",4.1,89건,340,서울 강남구 선릉로153길 36 1층
진미평양냉면,냉면,3.7,193건,499,서울 강남구 학동로 305-3 정각빌딩 1층
쉐이크쉑 종각점,햄버거,3.2,75건,218,서울 종로구 종로 33 1층
또순이네,"육류,고기",3.1,300건,261,서울 영등포구 선유로47길 16
성수다락,양식,3.5,54건,556,"서울 성동구 뚝섬로9길 20 2,3층"
온천집,샤브샤브,3.8,78건,528,서울 종로구 돈화문로11나길 31-8 1층
랑데자뷰 강남점,카페,3.2,38건,540,서울 강남구 봉은사로6길 39 1층
명동교자 본점,국수,3.8,"1,160건","1,064",서울 중구 명동10길 29
고양이정원,고양이카페,3.2,82건,230,서울 강서구 개화동로19길 18 1층
호족반 청담,퓨전한식,3.4,51건,421,서울 강남구 언주로164길 39
다운타우너 청담,햄버거,4.2,138건,652,서울 강남구 도산대로53길 14 1층
울프강스테이크하우스,양식,3.7,129건,382,서울 강남구 선릉로152길 21 영인빌딩 1층
라라브레드 공릉점,디저트카페,4.1,61건,335,서울 노원구 공릉로41길 32
보슬보슬,분식,3.3,91건,366,서울 강남구 테헤란로8길 22
로우앤슬로우,"육류,고기",2.8,65건,269,서울 용산구 보광로 126 2층
올드페리도넛,도넛,3.4,121건,740,서울 용산구 한남대로27길 66 2층
청진옥 본점,해장국,2.9,116건,211,서울 종로구 종로3길 32
목란,중식,3.2,288건,580,서울 서대문구 연희로15길 21
카페캠프통 압구정살롱점,디저트카페,3.5,26건,801,서울 강남구 압구정로42길 27
다운타우너 한남,햄버거,4.1,236건,711,서울 용산구 대사관로5길 12 1층
농민백암순대 본점,순대,4.2,221건,309,서울 강남구 선릉로86길 40-4 알앤지타운 1층
나정순할매쭈꾸미,"해물,생선",3.8,390건,441,서울 동대문구 무학로 144
갓잇 송리단길점,"멕시칸,브라질",3.9,150건,387,서울 송파구 백제고분로45길 4-14 트리비유 1층
땡스오트 연남점,디저트카페,4.0,54건,538,서울 마포구 성미산로23길 68
중앙해장,해장국,3.9,349건,700,서울 강남구 영동대로86길 17 육인빌딩 1층
쉐이크쉑 청담점,햄버거,3.6,112건,311,서울 강남구 도산대로 327 SGF청담타워 1층
디라이프스타일키친,양식,3.6,41건,335,서울 중구 세종대로 136 파이낸스빌딩 지하1층 101A호
청담스케쥴,양식,3.2,48건,372,서울 강남구 선릉로152길 37
맘마미아,카페,2.6,59건,756,서울 강남구 압구정로42길 45
쟝블랑제리,"제과,베이커리",3.8,427건,637,서울 관악구 낙성대역길 8
프릳츠 도화점,디저트카페,4.0,270건,772,서울 마포구 새창로2길 17
남영돈,"육류,고기",4.1,67건,360,서울 용산구 한강대로80길 17 1층
우래옥 본점,냉면,4.0,801건,610,서울 중구 창경궁로 62-29
을지다락,양식,4.0,84건,332,서울 중구 수표로10길 19 4층
자하손만두,한식,3.1,423건,249,서울 종로구 백석동길 12
압구정공주떡,"떡,한과",3.8,85건,256,서울 강남구 논현로161길 10 1층
한남동한방통닭,치킨,4.0,121건,308,서울 용산구 대사관로34길 38
애플하우스,떡볶이,3.4,614건,852,서울 서초구 신반포로 50
세상의모든아침,양식,3.2,163건,689,"서울 영등포구 여의대로 24 전경련회관 50, 51층"
